period,series-description,value,units,state
2019,Oklahoma Natural Gas Interstate Deliveries to Missouri (MMcf),7760.0,MMCF,OK-MO
2019,Oklahoma Natural Gas Interstate Deliveries to Tennessee (Million Cubic Feet),0.0,MMCF,OK-TN
2019,Oklahoma Natural Gas Interstate Deliveries to Texas (MMcf),986915.0,MMCF,OK-TX
2019,Oregon Natural Gas Interstate Deliveries to California (MMcf),711377.0,MMCF,OR-CA
2019,Oregon Natural Gas Interstate Deliveries to Idaho (MMcf),0.0,MMCF,OR-ID
2019,Oregon Natural Gas Interstate Deliveries to Nevada (Million Cubic Feet),0.0,MMCF,OR-NV
2019,Oregon Natural Gas Interstate Deliveries to Washington (MMcf),24495.0,MMCF,OR-WA
2019,Pennsylvania Natural Gas Interstate Deliveries to Delaware (MMcf),69985.0,MMCF,PA-DE
2019,Pennsylvania Natural Gas Interstate Deliveries to Maryland (MMcf),1079836.0,MMCF,PA-MD
2019,Pennsylvania Natural Gas Interstate Deliveries to New Jersey (MMcf),1699035.0,MMCF,PA-NJ
2019,Pennsylvania Natural Gas Interstate Deliveries to New York (MMcf),959515.0,MMCF,PA-NY
2019,Pennsylvania Natural Gas Interstate Deliveries to Ohio (MMcf),608239.0,MMCF,PA-OH
2019,Pennsylvania Natural Gas Interstate Deliveries to West Virginia (MMcf),724785.0,MMCF,PA-WV
2019,Rhode Island Natural Gas Interstate Deliveries to Connecticut (Million Cubic Feet),0.0,MMCF,RI-CT
2019,Rhode Island Natural Gas Interstate Deliveries to Massachusetts (MMcf),174250.0,MMCF,RI-MA
2019,South Carolina Natural Gas Interstate Deliveries to Alabama (Million Cubic Feet),0.0,MMCF,SC-AL
2019,South Carolina Natural Gas Interstate Deliveries to Georgia (MMcf),64741.0,MMCF,SC-GA
2019,South Carolina Natural Gas Interstate Deliveries to North Carolina (MMcf),186925.0,MMCF,SC-NC
2019,South Dakota Natural Gas Interstate Deliveries to Iowa (MMcf),195.0,MMCF,SD-IA
2019,South Dakota Natural Gas Interstate Deliveries to Minnesota (MMcf),778050.0,MMCF,SD-MN
2019,South Dakota Natural Gas Interstate Deliveries to North Dakota (Million Cubic Feet),0.0,MMCF,SD-ND
2019,South Dakota Natural Gas Interstate Deliveries to Nebraska (Million Cubic Feet),0.0,MMCF,SD-NE
2019,South Dakota Natural Gas Interstate Deliveries to Wyoming (MMcf),788.0,MMCF,SD-WY
2019,Tennessee Natural Gas Interstate Deliveries to Alabama (MMcf),720950.0,MMCF,TN-AL
2019,Tennessee Natural Gas Interstate Deliveries to Arkansas (Million Cubic Feet),708.0,MMCF,TN-AR
2019,Tennessee Natural Gas Interstate Deliveries to Georgia (MMcf),7548.0,MMCF,TN-GA
2019,Tennessee Natural Gas Interstate Deliveries to Kentucky (MMcf),341213.0,MMCF,TN-KY
2019,Tennessee Natural Gas Interstate Deliveries to Louisiana (Million Cubic Feet),3.0,MMCF,TN-LA
2019,Tennessee Natural Gas Interstate Deliveries to Missouri (Million Cubic Feet),4.0,MMCF,TN-MO
2019,Tennessee Natural Gas Interstate Deliveries to Mississippi (MMcf),895650.0,MMCF,TN-MS
2019,Tennessee Natural Gas Interstate Deliveries to Oklahoma (MMcf),16.0,MMCF,TN-OK
2019,Tennessee Natural Gas Interstate Deliveries to Virginia (MMcf),37.0,MMCF,TN-VA
2019,Texas Natural Gas Interstate Deliveries to Arkansas (MMcf),49166.0,MMCF,TX-AR
2019,Texas Natural Gas Interstate Deliveries to Colorado (Million Cubic Feet),1.0,MMCF,TX-CO
2019,Texas Natural Gas Interstate Deliveries to Iowa (Million Cubic Feet),1.0,MMCF,TX-IA
2019,Texas Natural Gas Interstate Deliveries to Louisiana (MMcf),1861513.0,MMCF,TX-LA
2019,Texas Natural Gas Interstate Deliveries to Maryland (Million Cubic Feet),1.0,MMCF,TX-MD
2019,Texas Natural Gas Interstate Deliveries to Missouri (Million Cubic Feet),7.0,MMCF,TX-MO
2019,Texas Natural Gas Interstate Deliveries to Nebraska (Million Cubic Feet),1.0,MMCF,TX-NE
2019,Texas Natural Gas Interstate Deliveries to New Mexico (MMcf),497056.0,MMCF,TX-NM
2019,Texas Natural Gas Interstate Deliveries to New York (Million Cubic Feet),0.0,MMCF,TX-NY
2019,Texas Natural Gas Interstate Deliveries to Oklahoma (MMcf),926212.0,MMCF,TX-OK
2019,Utah Natural Gas Interstate Deliveries to Arizona (MMcf),0.0,MMCF,UT-AZ
2019,Utah Natural Gas Interstate Deliveries to Colorado (MMcf),9412.0,MMCF,UT-CO
2019,Utah Natural Gas Interstate Deliveries to Idaho (MMcf),138182.0,MMCF,UT-ID
2019,Utah Natural Gas Interstate Deliveries to Nevada (MMcf),1012022.0,MMCF,UT-NV
2019,Utah Natural Gas Interstate Deliveries to Wyoming (MMcf),172830.0,MMCF,UT-WY
2019,Virginia Natural Gas Interstate Deliveries to District of Columbia (MMcf),3124.0,MMCF,VA-DC
2019,Virginia Natural Gas Deliveries to Kentucky (MMcf),0.0,MMCF,VA-KY
2019,Virginia Natural Gas Interstate Deliveries to Maryland (MMcf),375627.0,MMCF,VA-MD
2019,Virginia Natural Gas Interstate Deliveries to North Carolina (MMcf),408868.0,MMCF,VA-NC
2019,Virginia Natural Gas Interstate Deliveries to Tennessee (MMcf),51008.0,MMCF,VA-TN
2019,Virginia Natural Gas Interstate Deliveries to West Virginia (MMcf),0.0,MMCF,VA-WV
2019,Vermont Natural Gas Interstate Deliveries to New Hampshire (MMcf),99444.0,MMCF,VT-NH
2019,Washington Natural Gas Interstate Deliveries to Idaho (MMcf),11134.0,MMCF,WA-ID
2019,Washington Natural Gas Interstate Deliveries to Oregon (MMcf),723513.0,MMCF,WA-OR
