name,nice_name
p_nom_res_elec_furnace,Residential Oil Furnace
p_nom_com_lpg_furnace,Commercial Electric Furnace
p_nom_res_lpg_furnace,Residential Electric Furnace
p_nom_com_ashp,Commercial ASHP
p_nom_res_ashp,Residential ASHP
p_nom_com_gshp,Commercial GSHP
p_nom_res_gshp,Residential GSHP
p_nom_com_aircon,Commercial Air Conditioner
p_nom_res_aircon,Residential Air Conditioner
p_nom_com_gas_water_heater,Commercial Gas Water Heater
p_nom_res_gas_water_heater,Residential Gas Water Heater
p_nom_com_lpg_water_heater,Commercial Oil Water Heater
p_nom_res_lpg_water_heater,Residential Oil Water Heater
p_nom_com_elec_water_heater,Commercial Electric Water Heater
p_nom_res_elec_water_heater,Residential Electric Water Heater
p_nom_ind_gas_furnace,Industrial Gas Furnace
p_nom_ind_coal_furnace,Industrial Coal Furnace
p_nom_ind_heat_pump,Industrial Heat Pump
p_nom_trn_elec_lgt,Light Duty EV
p_nom_trn_elec_med,Medium Duty EV
p_nom_trn_elec_hvy,Heavy Duty EV
p_nom_trn_elec_bus,Bus EV
p_nom_trn_lpg_lgt,Light Duty ICE
p_nom_trn_lpg_med,Medium Duty ICE
p_nom_trn_lpg_hvy,Heavy Duty ICE
p_nom_trn_lpg_bus,Bus ICE
ng_imports,Import Volume
ng_exports,Export Volume
ng_pipeline_efficiency,Pipeline Efficiency
ng_pipeline_dom_p_nom,Domestic Pipeline Capacity
ng_pipeline_int_p_nom,International Pipeline Capacity
ng_processing_p_nom,Processing Capacity
ng_leakage_upstream,Upstream Leakage
ng_leakage_downstream,Downstream Leakage
gwp,Global Warming Potential
ng_marginal_cost_import,Import Cost
ng_marginal_cost_export,Export Cost
ng_linepack,Linepack Capacity
ng_storage_limits,Underground Storage Capacity
res_electrical_demand,Residential Electrical
res_space_heat_demand,Residential Space Heat
res_water_heat_deamand,Residential Water Heat
res_cooling_demand,Residential Space Cooling
com_electrical_demand,Commercial Electrical
com_cooling_demand,Commercial Space Heat
com_space_heat_demand,Commercial Water Heat
com_water_heat_deamand,Commercial Space Cooling
ind_electrical_demand,Industrial Electrical
ind_heat_demand,Industrial Heating
trn_veh_lgt_demand,Light Duty
trn_veh_med_demand,Medium Duty
trn_veh_hvy_demand,Heavy Duty
trn_veh_bus_demand,Bus
trn_ship_boat_demand,Domestic Shipping
trn_rail_psg_demand,Passenger Rail
trn_rail_ship_demand,Freight Rail
trn_air_psg_demand,Passenger Air Travel
ptc_solar,Solar
ptc_onwind,Onshore Wind
ptc_offwind,Offshore Wind
ptc_geo,Geothermal
ptc_hydro,Hydro
itc_solar,Solar
itc_onwind,Onshore Wind
itc_offwind,Offshore Wind
itc_geo,Geothermal
itc_bio,Biomass
itc_hydro,Hydro
itc_4hrbat,Battery (4hr)
itc_8hrbat,Battery (8hr)
itc_nuclear,Nuclear
discount_rate_res_gas_furnace,Residential Gas Furnace
discount_rate_res_lpg_furnace,Residential Oil Furnace
discount_rate_res_elec_furnace,Residential Electric Furnace
discount_rate_res_ashp,Residential ASHP
discount_rate_res_gshp,Residential GSHP
discount_rate_res_aircon,Residential Air Conditioner
discount_rate_res_gas_water_heater,Residential Gas Water Heater
discount_rate_res_lpg_water_heater,Residential Oil Water Heater
discount_rate_res_elec_water_heater,Residential Electric Water Heater
discount_rate_com_gas_furnace,Commercial Gas Furnace
discount_rate_com_lpg_furnace,Commercial Oil Furnace
discount_rate_com_elec_furnace,Commercial Electric Furnace
discount_rate_com_ashp,Commercial ASHP
discount_rate_com_gshp,Commercial GSHP
discount_rate_com_aircon,Commercial Air Conditioner
discount_rate_com_gas_water_heater,Commercial Gas Water Heater
discount_rate_com_lpg_water_heater,Commercial Oil Water Heater
discount_rate_com_elec_water_heater,Commercial Electric Water Heater
discount_rate_ind_gas_furnace,Industrial Gas Furnace
discount_rate_ind_coal_furnace,Industrial Coal Furnace
discount_rate_ind_heat_pump,Industrial Heat Pump
discount_rate_trn_elec_lgt,Light Duty EV
discount_rate_trn_elec_med,Medium Duty EV
discount_rate_trn_elec_hvy,Heavy Duty EV
discount_rate_trn_elec_bus,Bus EV
discount_rate_trn_lpg_lgt,Light Duty ICE
