period,series-description,value,units,state
2018,New Mexico Natural Gas Interstate Deliveries to Arizona (MMcf),1305997.0,MMCF,NM-AZ
2018,New Mexico Natural Gas Interstate Deliveries to Colorado (MMcf),51509.0,MMCF,NM-CO
2018,New Mexico Natural Gas Interstate Deliveries to Texas (MMcf),316877.0,MMCF,NM-TX
2018,New Mexico Natural Gas Interstate Deliveries to Utah (Million Cubic Feet),1.0,MMCF,NM-UT
2018,Nevada Natural Gas Interstate Deliveries to California (MMcf),543131.0,MMCF,NV-CA
2018,Nevada Natural Gas Interstate Deliveries to Idaho (Million Cubic Feet),0.0,MMCF,NV-ID
2018,Nevada Natural Gas Interstate Deliveries to Oregon (MMcf),200795.0,MMCF,NV-OR
2018,Nevada Natural Gas Interstate Deliveries to Utah (Million Cubic Feet),0.0,MMCF,NV-UT
2018,Nevada Natural Gas Interstate Deliveries to Wyoming (Million Cubic Feet),0.0,MMCF,NV-WY
2018,New York Natural Gas Interstate Deliveries to Connecticut (MMcf),617367.0,MMCF,NY-CT
2018,New York Natural Gas Interstate Deliveries to Massachusetts (MMcf),282530.0,MMCF,NY-MA
2018,New York Natural Gas Interstate Deliveries to New Jersey (Million Cubic Feet),0.0,MMCF,NY-NJ
2018,New York Natural Gas Interstate Deliveries to Pennsylvania (MMcf),46849.0,MMCF,NY-PA
2018,Ohio Natural Gas Interstate Deliveries to Indiana (MMcf),963742.0,MMCF,OH-IN
2018,Ohio Natural Gas Interstate Deliveries to Kentucky (MMcf),1121088.0,MMCF,OH-KY
2018,Ohio Natural Gas Interstate Deliveries to Louisiana (MMcf),235316.0,MMCF,OH-LA
2018,Ohio Natural Gas Interstate Deliveries to Michigan (MMcf),929435.0,MMCF,OH-MI
2018,Ohio Natural Gas Interstate Deliveries to Pennsylvania (MMcf),24.0,MMCF,OH-PA
2018,Ohio Natural Gas Interstate Deliveries to West Virginia (MMcf),0.0,MMCF,OH-WV
2018,Oklahoma Natural Gas Interstate Deliveries to Alabama (Million Cubic Feet),0.0,MMCF,OK-AL
2018,Oklahoma Natural Gas Interstate Deliveries to Arkansas (MMcf),383060.0,MMCF,OK-AR
2018,Oklahoma Natural Gas Interstate Deliveries to Colorado (MMcf),0.0,MMCF,OK-CO
2018,Oklahoma Natural Gas Interstate Deliveries to Kansas (MMcf),1369609.0,MMCF,OK-KS
2018,Oklahoma Natural Gas Interstate Deliveries to Kentucky (Million Cubic Feet),302.0,MMCF,OK-KY
2018,Oklahoma Natural Gas Interstate Deliveries to Missouri (MMcf),8615.0,MMCF,OK-MO
2018,Oklahoma Natural Gas Interstate Deliveries to Tennessee (Million Cubic Feet),0.0,MMCF,OK-TN
2018,Oklahoma Natural Gas Interstate Deliveries to Texas (MMcf),967096.0,MMCF,OK-TX
2018,Oregon Natural Gas Interstate Deliveries to California (MMcf),692923.0,MMCF,OR-CA
2018,Oregon Natural Gas Interstate Deliveries to Idaho (MMcf),62244.0,MMCF,OR-ID
2018,Oregon Natural Gas Interstate Deliveries to Nevada (Million Cubic Feet),0.0,MMCF,OR-NV
2018,Oregon Natural Gas Interstate Deliveries to Washington (MMcf),0.0,MMCF,OR-WA
2018,Pennsylvania Natural Gas Interstate Deliveries to Delaware (MMcf),68692.0,MMCF,PA-DE
2018,Pennsylvania Natural Gas Interstate Deliveries to Maryland (MMcf),807556.0,MMCF,PA-MD
2018,Pennsylvania Natural Gas Interstate Deliveries to New Jersey (MMcf),1634610.0,MMCF,PA-NJ
2018,Pennsylvania Natural Gas Interstate Deliveries to New York (MMcf),982711.0,MMCF,PA-NY
2018,Pennsylvania Natural Gas Interstate Deliveries to Ohio (MMcf),535581.0,MMCF,PA-OH
2018,Pennsylvania Natural Gas Interstate Deliveries to West Virginia (MMcf),431750.0,MMCF,PA-WV
2018,Rhode Island Natural Gas Interstate Deliveries to Connecticut (Million Cubic Feet),0.0,MMCF,RI-CT
2018,Rhode Island Natural Gas Interstate Deliveries to Massachusetts (MMcf),152699.0,MMCF,RI-MA
2018,South Carolina Natural Gas Interstate Deliveries to Alabama (Million Cubic Feet),0.0,MMCF,SC-AL
2018,South Carolina Natural Gas Interstate Deliveries to Georgia (MMcf),56407.0,MMCF,SC-GA
2018,South Carolina Natural Gas Interstate Deliveries to North Carolina (MMcf),433791.0,MMCF,SC-NC
2018,South Dakota Natural Gas Interstate Deliveries to Colorado (Million Cubic Feet),1.0,MMCF,SD-CO
2018,South Dakota Natural Gas Interstate Deliveries to Iowa (MMcf),184.0,MMCF,SD-IA
2018,South Dakota Natural Gas Interstate Deliveries to Minnesota (MMcf),784169.0,MMCF,SD-MN
2018,South Dakota Natural Gas Interstate Deliveries to North Dakota (Million Cubic Feet),0.0,MMCF,SD-ND
2018,South Dakota Natural Gas Interstate Deliveries to Nebraska (Million Cubic Feet),0.0,MMCF,SD-NE
2018,South Dakota Natural Gas Interstate Deliveries to Wyoming (MMcf),511.0,MMCF,SD-WY
2018,Tennessee Natural Gas Interstate Deliveries to Alabama (MMcf),986166.0,MMCF,TN-AL
2018,Tennessee Natural Gas Interstate Deliveries to Arkansas (Million Cubic Feet),321.0,MMCF,TN-AR
2018,Tennessee Natural Gas Interstate Deliveries to Georgia (MMcf),8811.0,MMCF,TN-GA
2018,Tennessee Natural Gas Interstate Deliveries to Kentucky (MMcf),332955.0,MMCF,TN-KY
2018,Tennessee Natural Gas Interstate Deliveries to Missouri (Million Cubic Feet),2.0,MMCF,TN-MO
2018,Tennessee Natural Gas Interstate Deliveries to Mississippi (MMcf),655177.0,MMCF,TN-MS
2018,Tennessee Natural Gas Interstate Deliveries to Oklahoma (MMcf),3.0,MMCF,TN-OK
2018,Tennessee Natural Gas Interstate Deliveries to Virginia (MMcf),48.0,MMCF,TN-VA
2018,Texas Natural Gas Interstate Deliveries to Arkansas (MMcf),43867.0,MMCF,TX-AR
2018,Texas Natural Gas Interstate Deliveries to Louisiana (MMcf),1761825.0,MMCF,TX-LA
2018,Texas Natural Gas Interstate Deliveries to Missouri (Million Cubic Feet),1.0,MMCF,TX-MO
2018,Texas Natural Gas Interstate Deliveries to New Mexico (MMcf),365722.0,MMCF,TX-NM
2018,Texas Natural Gas Interstate Deliveries to Oklahoma (MMcf),886328.0,MMCF,TX-OK
2018,Utah Natural Gas Interstate Deliveries to Arizona (MMcf),0.0,MMCF,UT-AZ
2018,Utah Natural Gas Interstate Deliveries to Colorado (MMcf),10060.0,MMCF,UT-CO
2018,Utah Natural Gas Interstate Deliveries to Idaho (MMcf),43139.0,MMCF,UT-ID
2018,Utah Natural Gas Interstate Deliveries to New Mexico (MMcf),0.0,MMCF,UT-NM
2018,Utah Natural Gas Interstate Deliveries to Nevada (MMcf),950908.0,MMCF,UT-NV
2018,Utah Natural Gas Interstate Deliveries to Wyoming (MMcf),183083.0,MMCF,UT-WY
2018,Virginia Natural Gas Interstate Deliveries to District of Columbia (MMcf),6089.0,MMCF,VA-DC
2018,Virginia Natural Gas Deliveries to Kentucky (MMcf),0.0,MMCF,VA-KY
2018,Virginia Natural Gas Interstate Deliveries to Maryland (MMcf),308281.0,MMCF,VA-MD
2018,Virginia Natural Gas Interstate Deliveries to North Carolina (MMcf),186821.0,MMCF,VA-NC
2018,Virginia Natural Gas Interstate Deliveries to Tennessee (MMcf),47717.0,MMCF,VA-TN
2018,Virginia Natural Gas Interstate Deliveries to West Virginia (MMcf),0.0,MMCF,VA-WV
2018,Vermont Natural Gas Interstate Deliveries to New Hampshire (MMcf),92983.0,MMCF,VT-NH
2018,Washington Natural Gas Interstate Deliveries to Colorado (Million Cubic Feet),0.0,MMCF,WA-CO
2018,Washington Natural Gas Interstate Deliveries to Idaho (MMcf),9521.0,MMCF,WA-ID
2018,Washington Natural Gas Interstate Deliveries to Oregon (MMcf),789877.0,MMCF,WA-OR
2018,Wisconsin Natural Gas Interstate Deliveries to Illinois (MMcf),0.0,MMCF,WI-IL
2018,Wisconsin Natural Gas Interstate Deliveries to Michigan (MMcf),389897.0,MMCF,WI-MI
2018,Wisconsin Natural Gas Interstate Deliveries to Minnesota (MMcf),310004.0,MMCF,WI-MN
2018,West Virginia Natural Gas Interstate Deliveries to Kentucky (MMcf),524673.0,MMCF,WV-KY
2018,West Virginia Natural Gas Interstate Deliveries to Ohio (MMcf),959952.0,MMCF,WV-OH
2018,West Virginia Natural Gas Interstate Deliveries to Pennsylvania (MMcf),78279.0,MMCF,WV-PA
2018,West Virginia Natural Gas Interstate Deliveries to Virginia (MMcf),415173.0,MMCF,WV-VA
2018,Wyoming Natural Gas Interstate Deliveries to Colorado (MMcf),752639.0,MMCF,WY-CO
2018,Wyoming Natural Gas Interstate Deliveries to Idaho (MMcf),65.0,MMCF,WY-ID
2018,Wyoming Natural Gas Interstate Deliveries to Montana (MMcf),24879.0,MMCF,WY-MT
2018,Wyoming Natural Gas Interstate Deliveries to Nebraska (MMcf),790295.0,MMCF,WY-NE
2018,Wyoming Natural Gas Interstate Deliveries to Nevada (MMcf),5.0,MMCF,WY-NV
2018,Wyoming Natural Gas Interstate Deliveries to South Dakota (MMcf),3930.0,MMCF,WY-SD
2018,Wyoming Natural Gas Interstate Deliveries to Utah (MMcf),1049293.0,MMCF,WY-UT
